Date (UT)	J2000 RA	J2000 Dec	Magn	Location	Ref
2017 10 23.385548	00 28 50.593	+04 19 03.41	23.1 G	568 – Maunakea	MPC 110734
2017 10 23.386852	00 28 49.730	+04 19 04.54	23.1 G	568 – Maunakea	MPC 110734
2017 10 24.23395	00 20 19.64	+04 30 08.4	20.9 G	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 24.23917	00 20 16.75	+04 30 12.3	 	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 24.24438	00 20 13.82	+04 30 15.6	21.0 G	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 24.24957	00 20 10.85	+04 30 19.7	20.7 G	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 25.044458	00 13 18.796	+04 39 35.19	21.1 G	309 – Cerro Paranal	MPC 110734
2017 10 25.050182	00 13 15.981	+04 39 38.79	21.7 G	309 – Cerro Paranal	MPC 110734
2017 10 25.061553	00 13 10.389	+04 39 45.94	22.6 G	309 – Cerro Paranal	MPC 110734
2017 10 25.112088	00 12 45.650	+04 40 17.26	23.4 G	309 – Cerro Paranal	MPC 110734
2017 10 25.117597	00 12 42.966	+04 40 20.70	23.6 G	309 – Cerro Paranal	MPC 110734
2017 10 25.19587	00 12 06.02	+04 40 47.9	21.3 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 25.20769	00 12 00.38	+04 40 55.9	21.2 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 25.21951	00 11 54.70	+04 41 02.0	21.4 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 25.232070	00 11 48.73	+04 41 09.4	20.8 R	V03 – Big Water	MPC 106548
2017 10 25.24174	00 11 44.09	+04 41 15.9	 	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 25.24440	00 11 42.76	+04 41 17.8	21.7 G	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 25.244675	00 11 42.66	+04 41 15.7	 	V03 – Big Water	MPC 106548
2017 10 25.24719	00 11 41.39	+04 41 20.5	22.0 G	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 25.25007	00 11 39.91	+04 41 23.5	 	G96 – Mt. Lemmon Survey	MPC 106548
2017 10 25.87692	00 07 01.68	+04 47 16.1	21.1 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 25.89734	00 06 52.92	+04 47 27.1	21.6 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 25.90408	00 06 50.03	+04 47 31.0	21.4 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 25.978960	00 06 18.713	+04 48 15.63	22.4 G	950 – La Palma	MPC 107152
2017 10 25.980666	00 06 18.031	+04 48 16.51	21.8 G	950 – La Palma	MPC 107152
2017 10 25.982372	00 06 17.299	+04 48 17.46	21.9 G	950 – La Palma	MPC 107152
2017 10 26.012315	00 06 04.665	+04 48 33.47	21.7 G	950 – La Palma	MPC 107152
2017 10 26.014021	00 06 03.946	+04 48 34.32	21.7 G	950 – La Palma	MPC 107152
2017 10 26.015726	00 06 03.239	+04 48 35.17	21.5 G	950 – La Palma	MPC 107152
2017 10 26.035075	00 05 55.146	+04 48 45.55	20.9 G	950 – La Palma	MPC 107152
2017 10 26.036781	00 05 54.412	+04 48 46.26	21.3 G	950 – La Palma	MPC 107152
2017 10 26.091169	00 05 33.59	+04 49 13.3	 	675 – Palomar Mountain	MPC 106548
2017 10 26.092836	00 05 32.90	+04 49 14.2	 	675 – Palomar Mountain	MPC 106548
2017 10 26.096690	00 05 31.32	+04 49 16.1	 	675 – Palomar Mountain	MPC 106548
2017 10 26.098345	00 05 30.64	+04 49 16.9	 	675 – Palomar Mountain	MPC 106548
2017 10 26.133749	00 05 15.166	+04 49 55.54	21.8 G	309 – Cerro Paranal	MPC 110734
2017 10 26.138575	00 05 13.175	+04 49 58.07	23.0 G	309 – Cerro Paranal	MPC 110734
2017 10 26.143286	00 05 11.230	+04 50 00.52	23.4 G	309 – Cerro Paranal	MPC 110734
2017 10 26.185052	00 04 54.100	+04 50 21.91	22.5 G	309 – Cerro Paranal	MPC 110734
2017 10 26.24599	00 04 30.08	+04 50 34.8	21.8 G	V06 – Catalina Sky Survey-Kuiper	MPC 106548
2017 10 26.24854	00 04 29.03	+04 50 35.2	22.7 G	V06 – Catalina Sky Survey-Kuiper	MPC 106548
2017 10 26.25110	00 04 28.12	+04 50 36.9	22.8 G	V06 – Catalina Sky Survey-Kuiper	MPC 106548
2017 10 26.25365	00 04 27.01	+04 50 38.0	22.1 G	V06 – Catalina Sky Survey-Kuiper	MPC 106548
2017 10 26.28697	00 04 13.60	+04 50 55.6	20.0 R	291 – LPL/Spacewatch II	MPC 106548
2017 10 26.29059	00 04 12.14	+04 50 57.2	 	291 – LPL/Spacewatch II	MPC 106548
2017 10 26.29419	00 04 10.69	+04 50 59.0	 	291 – LPL/Spacewatch II	MPC 106548
2017 10 26.29574	00 04 10.00	+04 50 59.1	22.1 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.29945	00 04 08.54	+04 51 01.2	21.9 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.30038	00 04 08.20	+04 51 02.2	22.3 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.30912	00 04 04.68	+04 51 06.5	20.7 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.30968	00 04 04.47	+04 51 06.6	22.2 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.31285	00 04 03.23	+04 51 08.5	21.4 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.31656	00 04 01.73	+04 51 10.3	21.7 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 26.82093	00 00 52.02	+04 55 12.8	 	204 – Schiaparelli Observatory	MPC 106548
2017 10 26.83310	00 00 47.49	+04 55 18.7	21.4 G	204 – Schiaparelli Observatory	MPC 106549
2017 10 26.84527	00 00 42.99	+04 55 23.9	 	204 – Schiaparelli Observatory	MPC 106549
2017 10 26.892901	00 00 25.32	+04 56 10.6	22.8 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 26.895781	00 00 24.28	+04 56 12.4	22.2 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 26.896742	00 00 23.93	+04 56 13.0	21.7 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 26.899625	00 00 22.85	+04 56 13.8	22.2 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 27.13044	23 59 02.09	+04 57 38.6	22.2 R	850 – Cordell-Lorenz Observatory, Sewanee	MPC 106549
2017 10 27.14702	23 58 56.11	+04 57 46.7	21.8 R	850 – Cordell-Lorenz Observatory, Sewanee	MPC 106549
2017 10 27.16382	23 58 50.16	+04 57 52.2	22.0 R	850 – Cordell-Lorenz Observatory, Sewanee	MPC 106549
2017 10 27.21629	23 58 31.77	+04 58 15.9	21.6 R	850 – Cordell-Lorenz Observatory, Sewanee	MPC 106549
2017 10 27.24829	23 58 20.73	+04 58 31.7	21.5 R	850 – Cordell-Lorenz Observatory, Sewanee	MPC 106549
2017 10 27.269327	23 58 14.606	+04 58 44.31	22.8 G	568 – Maunakea	MPC 110734
2017 10 27.282873	23 58 09.917	+04 58 50.36	22.3 G	568 – Maunakea	MPC 110734
2017 10 27.28540	23 58 08.17	+04 58 48.5	21.0 R	926 – Tenagra II Observatory, Nogales	MPC 106549
2017 10 27.28910	23 58 06.94	+04 58 50.2	21.3 R	926 – Tenagra II Observatory, Nogales	MPC 106549
2017 10 27.29280	23 58 05.66	+04 58 51.0	21.6 R	926 – Tenagra II Observatory, Nogales	MPC 106549
2017 10 27.304553	23 58 02.427	+04 58 59.94	22.0 G	568 – Maunakea	MPC 110734
2017 10 27.330214	23 57 53.596	+04 59 11.15	22.1 G	568 – Maunakea	MPC 110734
2017 10 27.381822	23 57 35.926	+04 59 33.51	24.1 G	568 – Maunakea	MPC 110734
2017 10 27.78654	23 55 25.75	+05 02 16.0	22.3 G	J95 – Great Shefford	MPC 106549
2017 10 27.867799	23 54 59.73	+05 03 13.8	22.0 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 27.874129	23 54 57.69	+05 03 15.7	22.4 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 27.875033	23 54 57.40	+05 03 16.3	22.1 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 27.876844	23 54 56.84	+05 03 16.9	21.9 G	K93 – Sutherland-LCO C	MPC 106549
2017 10 27.88561	23 54 54.08	+05 03 20.7	21.8 G	K91 – Sutherland-LCO A	MPC 106549
2017 10 27.88743	23 54 53.52	+05 03 21.6	21.8 G	K91 – Sutherland-LCO A	MPC 106549
